region,period,model,SSP,Report,scenario,unit,Emission reduction,Mitigation cost
OECD,2040,MESSAGE,Yes,SR15,SSP1-34,None,67.9264908,NA
OECD,2040,MESSAGE,Yes,SR15,SSP2-19,None,96.60781554,NA
OECD,2040,MESSAGE,Yes,SR15,SSP2-26,None,87.95648993,NA
OECD,2040,MESSAGE,Yes,SR15,SSP2-34,None,77.73350866,NA
OECD,2040,POLES,No,AR5,AMPERE2-450-FullTech-OPT,None,99.39271056,-0.020245928
OECD,2040,POLES,No,AR5,EMF27-450-FullTech,None,100.0061017,-0.019510195
OECD,2040,POLES,No,AR5,EMF27-550-FullTech,None,101.2537648,-0.008960825
OECD,2040,POLES,No,SR15,ADVANCE_2020_1.5C-2100,None,95.24586642,-0.045814629
OECD,2040,POLES,No,SR15,ADVANCE_2020_WB2C,None,90.76591269,-0.009817421
OECD,2040,REMIND,Yes,AR5,ROSE 450 DEF,None,84.37115602,-0.007674167
OECD,2040,REMIND,Yes,AR5,ROSE 550 DEF,None,82.90131204,-0.005077753
OECD,2040,REMIND,Yes,SR15,ADVANCE_2020_1.5C-2100,None,100.6801342,-0.014700712
OECD,2040,REMIND,Yes,SR15,ADVANCE_2020_WB2C,None,95.76103105,-0.010223699
OECD,2040,REMIND,Yes,SR15,AMPERE2-450-FullTech-OPT,None,77.90456871,-0.008831001
OECD,2040,REMIND,Yes,SR15,CD-LINKS_NPi2020_1000,None,95.33206633,-0.008340611
OECD,2040,REMIND,Yes,SR15,CD-LINKS_NPi2020_1600,None,96.29780828,-0.005005364
OECD,2040,REMIND,Yes,SR15,EMF27-450-FullTech,None,86.74409319,-0.011277977
OECD,2040,REMIND,Yes,SR15,EMF27-550-FullTech,None,83.77708895,-0.010088313
OECD,2040,REMIND,Yes,SR15,EMF33_WB2C_full,None,92.06358432,-0.015104903
OECD,2040,REMIND,Yes,SR15,LIMITS-450,None,86.08437129,-0.011706606
OECD,2040,REMIND,Yes,SR15,LIMITS-500,None,80.48287315,-0.009141158
